Occupation,"Average salary (U.S.)"
"News analysts, reporters, and journalists",80900
"Writers and authors",90200
"Proofreaders and copy markers",50600
Editors,85200
"Digital communication managers",139800
"Web/digital interface designers",101300
"Public relations managers",149900
"Public relations specialists",80600
"Fundraising managers",122600
Fundraisers,67100
"Broadcast producers and directors",109500
"Broadcast announcers and radio DJs",97000
"Film and video editors",82400
Photographers,53000
"Advertising and promotions managers",155600
"Technical writers",90300
"Health education specialists",68100
